"VideoURL";"Speaker";"AvailableSubtitlesCount";"Duraton";"TimeFilmed";"TalkViewsCount";"TalkCommentsCount"
"https://www.ted.com/talks/james_veitch_this_is_what_happens_when_you_reply_to_spam_email";"James Veitch";"43";" 9:48";"Dec 2015";"17,390,256";"148"
"https://www.ted.com/talks/jane_fonda_and_lily_tomlin_a_hilarious_celebration_of_lifelong_female_friendship";"Jane Fonda

Lily Tomlin";"29";"15:44";"May 2015";"2,181,690";"52"
"https://www.ted.com/talks/jason_decaires_taylor_an_underwater_art_museum_teeming_with_life";"Jason deCaires Taylor";"30";"11:09";"Oct 2015";"1,414,126";"41"
"https://www.ted.com/talks/jedidah_isler_the_untapped_genius_that_could_change_science_for_the_better";"Jedidah Isler";"20";"13:42";"Aug 2015";"1,029,740";"28"
"https://www.ted.com/talks/jeff_han_demos_his_breakthrough_touchscreen";"Jeff Han";"27";" 8:47";"Feb 2006";"4,502,552";"242"
"https://www.ted.com/talks/jehane_noujaim_inspires_a_global_day_of_film";"Jehane Noujaim";"20";"25:38";"Feb 2006";"380,727";"54"
"https://www.ted.com/talks/jennifer_lin_improvs_piano_magic";"Jennifer Lin";"31";"24:05";"Feb 2004";"1,615,030";"303"
"https://www.ted.com/talks/jill_farrant_how_we_can_make_crops_survive_without_water";"Jill Farrant";"25";"13:56";"Dec 2015";"1,309,088";"52"
"https://www.ted.com/talks/jill_heinerth_the_mysterious_world_of_underwater_caves";"Jill Heinerth";"36";" 6:49";"Nov 2015";"1,439,583";"25"
"https://www.ted.com/talks/jimmy_wales_on_the_birth_of_wikipedia";"Jimmy Wales";"32";"20:01";"Jul 2005";"1,085,004";"81"
"https://www.ted.com/talks/jocelyne_bloch_the_brain_may_be_able_to_repair_itself_with_help";"Jocelyne Bloch";"33";"11:34";"Dec 2015";"2,088,732";"95"
"https://www.ted.com/talks/joe_gebbia_how_airbnb_designs_for_trust";"Joe Gebbia";"29";"15:51";"Feb 2016";"1,942,232";"74"
"https://www.ted.com/talks/joe_lassiter_we_need_nuclear_power_to_solve_climate_change";"Joe Lassiter";"23";"13:46";"Jun 2016";"1,035,103";"287"
"https://www.ted.com/talks/joe_sabia_the_technology_of_storytelling";"Joe Sabia";"49";" 3:51";"May 2011";"1,058,287";"131"
"https://www.ted.com/talks/john_bohannon_dance_vs_powerpoint_a_modest_proposal";"John Bohannon

Black Label Movement";"28";"11:17";"Nov 2011";"475,927";"332"
"https://www.ted.com/talks/jonathan_haidt_can_a_divided_america_heal";"Jonathan Haidt

Chris Anderson";"19";"20:17";"Nov 2016";"1,391,980";"212"
"https://www.ted.com/talks/jonathan_marks_in_praise_of_conflict";"Jonathan Marks";"8";"14:56";"Feb 2017";"678,795";"69"
"https://www.ted.com/talks/jonathan_rossiter_a_robot_that_eats_pollution";"Jonathan Rossiter";"12";"14:10";"Mar 2016";"989,583";"41"
"https://www.ted.com/talks/jorge_drexler_poetry_music_and_identity";"Jorge Drexler";"2";"16:40";"Apr 2017";"297,132";"21"
"https://www.ted.com/talks/joshua_prince_ramus_on_seattle_s_library";"Joshua Prince-Ramus";"19";"19:58";"Feb 2006";"929,567";"45"
"https://www.ted.com/talks/joy_buolamwini_how_i_m_fighting_bias_in_algorithms";"Joy Buolamwini";"7";" 8:44";"Nov 2016";"626,374";"58"
"https://www.ted.com/talks/jude_kelly_why_women_should_tell_the_stories_of_humanity";"Jude Kelly";"13";"13:22";"Oct 2016";"890,385";"66"
"https://www.ted.com/talks/judson_brewer_a_simple_way_to_break_a_bad_habit";"Judson Brewer";"37";" 9:24";"Nov 2015";"7,179,463";"127"
"https://www.ted.com/talks/julia_sweeney_on_letting_go_of_god";"Julia Sweeney";"31";"16:32";"Feb 2006";"3,703,896";"887"
"https://www.ted.com/talks/kandice_sumner_how_america_s_public_schools_keep_kids_in_poverty";"Kandice Sumner";"18";"13:50";"Nov 2015";"1,121,705";"125"
"https://www.ted.com/talks/karim_abouelnaga_a_summer_school_kids_actually_want_to_attend";"Karim Abouelnaga";"6";" 7:05";"Apr 2017";"435,497";"40"
"https://www.ted.com/talks/karina_galperin_why_don_t_we_write_words_the_way_pronounce_them";"Karina Galperin";"5";"16:13";"Sep 2015";"384,144";"59"
"https://www.ted.com/talks/kate_stafford_how_human_noise_affects_ocean_habitats";"Kate Stafford";"4";"11:51";"Nov 2016";"352,309";"14"
"https://www.ted.com/talks/kathy_hull_stories_from_a_home_for_terminally_ill_children";"Kathy Hull";"12";"15:18";"Oct 2016";"780,036";"18"
"https://www.ted.com/talks/katie_bouman_what_does_a_black_hole_look_like";"Katie Bouman";"7";"12:51";"Nov 2016";"1,026,707";"52"
"https://www.ted.com/talks/katie_hinde_what_we_don_t_know_about_mother_s_milk";"Katie Hinde";"11";" 9:59";"Oct 2016";"808,089";"37"
"https://www.ted.com/talks/ken_robinson_says_schools_kill_creativity";"Ken Robinson";"60";"19:24";"Feb 2006";"45,286,478";"4526"
"https://www.ted.com/talks/kevin_b_jones_why_curiosity_is_the_key_to_science_and_medicine";"Kevin B. Jones";"19";"17:13";"Sep 2015";"847,239";"33"
"https://www.ted.com/talks/kevin_kelly_how_ai_can_bring_on_a_second_industrial_revolution";"Kevin Kelly";"18";"13:44";"Jun 2016";"1,274,074";"68"
"https://www.ted.com/talks/kimberle_crenshaw_the_urgency_of_intersectionality";"Kimberlé Crenshaw

Abby Dobson";"16";"18:49";"Oct 2016";"786,582";"103"
"https://www.ted.com/talks/lara_setrakian_3_ways_to_fix_a_broken_news_industry";"Lara Setrakian";"21";" 8:37";"Jan 2017";"832,894";"84"
"https://www.ted.com/talks/larry_brilliant_wants_to_stop_pandemics";"Larry Brilliant";"24";"25:50";"Feb 2006";"678,231";"70"
"https://www.ted.com/talks/latif_nasser_you_have_no_idea_where_camels_really_come_from";"Latif Nasser";"27";"12:27";"Nov 2015";"2,176,253";"86"
"https://www.ted.com/talks/laura_galante_how_to_exploit_democracy";"Laura Galante";"5";" 9:33";"Apr 2017";"444,323";"54"
"https://www.ted.com/talks/laura_robinson_the_secrets_i_find_on_the_mysterious_ocean_floor";"Laura Robinson";"23";"11:21";"Dec 2014";"1,459,973";"27"
"https://www.ted.com/talks/laura_vanderkam_how_to_gain_control_of_your_free_time";"Laura Vanderkam";"30";"11:54";"Oct 2016";"3,944,045";"81"
"https://www.ted.com/talks/linda_liukas_a_delightful_way_to_teach_kids_about_computers";"Linda Liukas";"30";"11:03";"Oct 2015";"1,574,102";"66"
"https://www.ted.com/talks/lisa_genova_what_you_can_do_to_prevent_alzheimer_s";"Lisa Genova";"5";"13:56";"Apr 2017";"1,003,404";"40"
"https://www.ted.com/talks/lucianne_walkowicz_let_s_not_use_mars_as_a_backup_planet";"Lucianne Walkowicz";"36";" 5:50";"Mar 2015";"1,961,238";"144"
"https://www.ted.com/talks/lucy_kalanithi_what_makes_life_worth_living_in_the_face_of_death";"Lucy Kalanithi";"1";"16:09";"Nov 2016";"606,290";"29"
"https://www.ted.com/talks/luis_von_ahn_massive_scale_online_collaboration";"Luis von Ahn";"33";"16:39";"Apr 2011";"1,458,953";"307"
"https://www.ted.com/talks/lux_narayan_what_i_learned_from_2_000_obituaries";"Lux Narayan";"22";" 6:08";"Jan 2017";"1,195,255";"21"
"https://www.ted.com/talks/magda_sayeg_how_yarn_bombing_grew_into_a_worldwide_movement";"Magda Sayeg";"28";" 5:30";"Nov 2015";"1,226,030";"26"
"https://www.ted.com/talks/majora_carter_s_tale_of_urban_renewal";"Majora Carter";"35";"18:36";"Feb 2006";"1,589,518";"199"
"https://www.ted.com/talks/malcolm_gladwell_on_spaghetti_sauce";"Malcolm Gladwell";"37";"17:30";"Feb 2004";"6,848,258";"352"
